r,u,omega
1.300000,0.783900,1.298611
1.300000,0.785800,1.305556
1.300000,0.785000,1.291667
1.300000,0.782800,1.298611
1.300000,0.785400,1.298611
1.300000,0.784800,1.298611
1.300000,0.784700,1.298611
1.300000,0.784600,1.291667
1.300000,0.784600,1.298611
1.300000,0.786500,1.298611
1.300000,0.785800,1.298611
1.300000,0.785500,1.298611
1.300000,0.785500,1.298611
1.300000,0.785500,1.298611
1.300000,0.785500,1.298611
1.300000,0.785600,1.298611
1.300000,0.785700,1.305556
1.300000,0.785700,1.298611
1.300000,0.784000,1.298611
1.300000,0.784900,1.298611
1.300000,0.785200,1.305556
1.300000,0.785500,1.291667
1.300000,0.783700,1.298611
1.300000,0.786500,1.298611
1.300000,0.786100,1.305556
1.300000,0.786100,1.298611
1.300000,0.784200,1.298611
1.300000,0.785100,1.298611
1.300000,0.785500,1.305556
1.300000,0.785700,1.298611
1.300000,0.784000,1.298611
1.300000,0.784900,1.298611
1.300000,0.785300,1.305556
1.300000,0.785600,1.291667
1.300000,0.783800,1.298611
1.300000,0.786700,1.305556
1.300000,0.786300,1.298611
1.300000,0.784300,1.298611
1.300000,0.785200,1.298611
1.300000,0.785500,1.298611
1.300000,0.785800,1.305556
1.300000,0.785900,1.298611
1.300000,0.784200,1.298611
1.300000,0.785100,1.305556
1.300000,0.785500,1.298611
1.300000,0.783900,1.291667
1.300000,0.784800,1.298611
1.300000,0.787100,1.305556
1.300000,0.786600,1.298611
1.300000,0.784600,1.298611
1.300000,0.785400,1.298611
1.300000,0.785800,1.305556
1.300000,0.786000,1.298611
1.300000,0.784300,1.298611
1.300000,0.785200,1.298611
1.300000,0.785600,1.305556
1.300000,0.785900,1.298611
1.300000,0.784200,1.291667
1.300000,0.785100,1.305556
1.300000,0.787400,1.305556
1.300000,0.785000,1.291667
1.300000,0.783800,1.298611
1.300000,0.786800,1.305556
1.300000,0.786400,1.298611
1.300000,0.784600,1.298611
1.300000,0.785400,1.298611
1.300000,0.785800,1.305556
1.300000,0.786100,1.298611
1.300000,0.784300,1.298611
1.300000,0.785300,1.298611
1.300000,0.785700,1.305556
1.300000,0.785900,1.298611
1.300000,0.784200,1.298611
1.300000,0.785200,1.298611
1.300000,0.785600,1.305556
1.300000,0.785800,1.298611
1.300000,0.784100,1.298611
1.300000,0.785100,1.298611
1.300000,0.785500,1.305556
1.300000,0.785700,1.298611
1.300000,0.784000,1.291667
1.300000,0.785000,1.305556
1.300000,0.787200,1.298611
1.300000,0.784800,1.298611
1.300000,0.785500,1.298611
1.300000,0.785800,1.305556
1.300000,0.786000,1.298611
1.300000,0.784200,1.298611
1.300000,0.785200,1.298611
1.300000,0.785600,1.305556
1.300000,0.785800,1.298611
1.300000,0.784100,1.298611
